164,000	4,147	3,971	-0,356
165,000	4,147	3,971	-0,350
166,000	4,147	3,971	-0,357
167,000	4,147	3,971	-0,350
168,000	4,147	3,971	-0,352
169,000	4,147	3,971	-0,352
170,000	4,147	3,971	-0,350
171,000	4,147	3,971	-0,353
172,000	4,147	3,971	-0,353
173,000	4,147	3,971	-0,350
174,000	4,147	3,971	-0,352
175,000	4,147	3,971	-0,358
176,000	4,147	3,971	-0,359
177,000	4,147	3,971	-0,354
178,000	4,147	3,971	-0,354
179,000	4,147	3,971	-0,350
180,000	4,147	3,971	-0,359
181,000	4,147	3,971	-0,365
182,000	4,147	3,971	-0,360
183,000	4,147	3,971	-0,355
184,000	4,147	3,971	-0,357
185,000	4,147	3,971	-0,370
186,000	4,147	3,971	-0,356
187,000	4,147	3,971	-0,359
188,000	4,147	3,971	-0,359
189,000	4,147	3,971	-0,364
190,000	4,147	3,971	-0,361
191,000	4,147	3,971	-0,364
192,000	4,147	3,971	-0,357
193,000	4,147	3,971	-0,357
194,000	4,235	3,882	-0,356
195,000	4,235	3,882	-0,355
196,000	4,235	3,882	-0,347
197,000	4,235	3,882	-0,360
198,000	4,235	3,882	-0,350
199,000	4,235	3,882	-0,353
200,000	4,235	3,882	-0,349
201,000	4,235	3,882	-0,352
202,000	4,235	3,882	-0,348
203,000	4,235	3,882	-0,350
204,000	4,235	3,882	-0,352
205,000	4,235	3,882	-0,349
206,000	4,235	3,882	-0,352
207,000	4,235	3,882	-0,354
208,000	4,235	3,882	-0,359
209,000	4,235	3,882	-0,351
210,000	4,235	3,882	-0,361
211,000	4,235	3,882	-0,356
212,000	4,235	3,882	-0,368
213,000	4,235	3,882	-0,346
214,000	4,235	3,882	-0,368
215,000	4,235	3,882	-0,360
216,000	4,235	3,882	-0,361
217,000	4,235	3,882	-0,350
218,000	4,235	3,882	-0,366
219,000	4,235	3,882	-0,352
220,000	4,235	3,882	-0,364
221,000	4,235	3,882	-0,356
222,000	4,235	3,882	-0,355
223,000	4,235	3,882	-0,359
224,000	4,235	3,882	-0,363
225,000	4,235	3,882	-0,359
226,000	4,235	3,882	-0,356
227,000	4,235	3,882	-0,352
228,000	4,235	3,882	-0,356
229,000	4,235	3,882	-0,359
230,000	4,235	3,882	-0,353
231,000	4,235	3,882	-0,350
232,000	4,235	3,882	-0,348
233,000	4,235	3,882	-0,356
234,000	4,235	3,882	-0,353
235,000	4,235	3,882	-0,345
236,000	4,235	3,882	-0,352
237,000	4,235	3,882	-0,354
238,000	4,235	3,882	-0,353
239,000	4,235	3,882	-0,352
240,000	4,235	3,882	-0,357
241,000	4,235	3,882	-0,350
242,000	4,235	3,882	-0,357
243,000	4,235	3,882	-0,352
244,000	4,235	3,882	-0,352
245,000	4,235	3,882	-0,353
246,000	4,235	3,882	-0,359
247,000	4,235	3,882	-0,360
248,000	4,235	3,882	-0,359
249,000	4,235	3,882	-0,356
250,000	4,235	3,882	-0,357
251,000	4,235	3,882	-0,363
252,000	4,235	3,882	-0,358
253,000	4,235	3,882	-0,361
254,000	4,235	3,882	-0,353
255,000	4,235	3,882	-0,364
256,000	4,235	3,882	-0,357
257,000	4,235	3,882	-0,368
258,000	4,235	3,882	-0,345
259,000	4,235	3,882	-0,363
260,000	4,235	3,882	-0,356
261,000	4,235	3,882	-0,361
262,000	4,235	3,882	-0,359
263,000	4,324	3,794	-0,354
